S_values,r_values
0,0.300023
0.00390625,0.301177
0.00195312,0.3006
0.0078125,0.302331
0.00585938,0.301754
0.0117188,0.303486
0.00976562,0.302909
0.015625,0.304642
0.0136719,0.304064
0.0195312,0.3058
0.0175781,0.305221
0.0234375,0.306959
0.0214844,0.306379
0.0273438,0.308121
0.0253906,0.30754
0.03125,0.309285
0.0292969,0.308702
0.0351562,0.310451
0.0332031,0.309868
0.0390625,0.311622
0.0371094,0.311036
0.0429688,0.312795
0.0410156,0.312208
0.046875,0.313973
0.0449219,0.313383
0.0507812,0.315155
0.0488281,0.314563
0.0546875,0.316341
0.0527344,0.315747
0.0585938,0.317533
0.0566406,0.316936
0.0625,0.31873
0.0605469,0.318131
0.0664062,0.319933
0.0644531,0.31933
0.0703125,0.321141
0.0683594,0.320536
0.0742188,0.322356
0.0722656,0.321748
0.078125,0.323578
0.0761719,0.322967
0.0820312,0.324808
0.0800781,0.324192
0.0859375,0.326044
0.0839844,0.325425
0.0898438,0.327288
0.0878906,0.326665
0.09375,0.328541
0.0917969,0.327914
0.0976562,0.329802
0.0957031,0.329171
0.101562,0.331072
0.0996094,0.330436
0.105469,0.332351
0.103516,0.331711
0.109375,0.33364
0.107422,0.332995
0.113281,0.334939
0.111328,0.334288
0.117188,0.336248
0.115234,0.335592
0.121094,0.337567
0.119141,0.336906
0.125,0.338898
0.123047,0.338231
0.128906,0.34024
0.126953,0.339567
0.132812,0.341593
0.130859,0.340915
0.136719,0.342958
0.134766,0.342274
0.140625,0.344336
0.138672,0.343645
0.144531,0.345726
0.142578,0.345029
0.148438,0.347129
0.146484,0.346426
0.152344,0.348546
0.150391,0.347836
0.15625,0.349976
0.154297,0.349259
0.160156,0.35142
0.158203,0.350696
0.164062,0.352878
0.162109,0.352147
0.167969,0.354351
0.166016,0.353613
0.171875,0.355839
0.169922,0.355093
0.175781,0.357342
0.173828,0.356588
0.179688,0.35886
0.177734,0.358099
0.183594,0.360395
0.181641,0.359625
0.1875,0.361945
0.185547,0.361168
0.191406,0.363512
0.189453,0.362727
0.195312,0.365096
0.193359,0.364302
0.199219,0.366697
0.197266,0.365894
0.203125,0.368315
0.201172,0.367504
0.207031,0.369951
0.205078,0.369131
0.210938,0.371605
0.208984,0.370776
0.214844,0.373278
0.212891,0.372439
0.21875,0.374969
0.216797,0.374121
0.222656,0.376678
0.220703,0.375821
0.226562,0.378407
0.224609,0.37754
0.230469,0.380156
0.228516,0.379279
0.234375,0.381924
0.232422,0.381037
0.238281,0.383712
0.236328,0.382815
0.242188,0.38552
0.240234,0.384613
0.246094,0.387349
0.244141,0.386432
0.25,0.389199
0.248047,0.388271
0.253906,0.391069
0.251953,0.390131
0.257812,0.392961
0.255859,0.392013
0.261719,0.394875
0.259766,0.393915
0.265625,0.39681
0.263672,0.39584
0.269531,0.398768
0.267578,0.397786
0.273438,0.400748
0.271484,0.399755
0.277344,0.40275
0.275391,0.401746
0.28125,0.404775
0.279297,0.40376
0.285156,0.406823
0.283203,0.405796
0.289062,0.408894
0.287109,0.407856
0.292969,0.410989
0.291016,0.409939
0.296875,0.413107
0.294922,0.412045
0.300781,0.415249
0.298828,0.414175
0.304688,0.417415
0.302734,0.416329
0.308594,0.419606
0.306641,0.418507
0.3125,0.42182
0.310547,0.42071
0.316406,0.42406
0.314453,0.422937
0.320312,0.426324
0.318359,0.425189
0.324219,0.428613
0.322266,0.427465
0.328125,0.430927
0.326172,0.429767
0.332031,0.433266
0.330078,0.432093
0.335938,0.435631
0.333984,0.434445
0.339844,0.438021
0.337891,0.436822
0.34375,0.440437
0.341797,0.439225
0.347656,0.442878
0.345703,0.441654
0.351562,0.445346
0.349609,0.444109
0.355469,0.447839
0.353516,0.446589
0.359375,0.450359
0.357422,0.449095
0.363281,0.452904
0.361328,0.451628
0.367188,0.455476
0.365234,0.454187
0.371094,0.458075
0.369141,0.456772
0.375,0.460699
0.373047,0.459384
0.378906,0.463351
0.376953,0.462022
0.382812,0.466028
0.380859,0.464686
0.386719,0.468733
0.384766,0.467377
0.390625,0.471464
0.388672,0.470095
0.394531,0.474221
0.392578,0.472839
0.398438,0.477005
0.396484,0.47561
0.402344,0.479816
0.400391,0.478407
0.40625,0.482653
0.404297,0.481231
0.410156,0.485517
0.408203,0.484082
0.414062,0.488408
0.412109,0.486959
0.417969,0.491325
0.416016,0.489863
0.421875,0.494268
0.419922,0.492793
0.425781,0.497238
0.423828,0.49575
0.429688,0.500234
0.427734,0.498733
0.433594,0.503256
0.431641,0.501742
0.4375,0.506305
0.435547,0.504777
0.441406,0.509379
0.439453,0.507839
0.445312,0.51248
0.443359,0.510926
0.449219,0.515606
0.447266,0.51404
0.453125,0.518758
0.451172,0.517179
0.457031,0.521935
0.455078,0.520343
0.460938,0.525137
0.458984,0.523533
0.464844,0.528365
0.462891,0.526748
0.46875,0.531617
0.466797,0.529988
