S_values,r_values
0,0.896551
0.00390625,0.896626
0.000674505,0.896564
0.00195312,0.896588
0.00323175,0.896613
0.0078125,0.896856
0.00458075,0.896666
0.00585938,0.896741
0.007138,0.896816
0.0117188,0.897246
0.008487,0.896923
0.00976562,0.897051
0.0110442,0.897178
0.015625,0.8978
0.0123933,0.897341
0.0136719,0.897523
0.0149505,0.897704
0.0195312,0.898522
0.0162995,0.897925
0.0175781,0.898161
0.0188567,0.898397
0.0234375,0.899414
0.0202058,0.898676
0.0214844,0.898968
0.022763,0.89926
0.0273438,0.900477
0.024112,0.899598
0.0253906,0.899946
0.0266692,0.900294
0.03125,0.901711
0.0280183,0.90069
0.0292969,0.901094
0.0305755,0.901498
0.0351562,0.903113
0.0319245,0.901953
0.0332031,0.902412
0.0344817,0.902871
0.0390625,0.904682
0.0358308,0.903384
0.0371094,0.903898
0.038388,0.904411
0.0429688,0.906414
0.039737,0.904981
0.0410156,0.905548
0.0422942,0.906115
0.046875,0.908303
0.0436433,0.90674
0.0449219,0.907359
0.0462005,0.907977
0.0507812,0.910345
0.0475495,0.908656
0.0488281,0.909324
0.0501067,0.909992
0.0546875,0.912531
0.0514558,0.910722
0.0527344,0.911438
0.054013,0.912154
0.0585938,0.914855
0.055362,0.912933
0.0566406,0.913693
0.0579192,0.914454
0.0625,0.917307
0.0592683,0.915279
0.0605469,0.916081
0.0618255,0.916884
0.0664062,0.919879
0.0631745,0.917751
0.0644531,0.918593
0.0657317,0.919435
0.0703125,0.922558
0.0670808,0.920341
0.0683594,0.921218
0.069638,0.922095
0.0742188,0.925335
0.070987,0.923038
0.0722656,0.923947
0.0735442,0.924856
0.078125,0.928199
0.0748933,0.92583
0.0761719,0.926767
0.0774505,0.927704
0.0820312,0.931136
0.0787995,0.928706
0.0800781,0.929667
0.0813567,0.930629
0.0859375,0.934135
0.0827058,0.931654
0.0839844,0.932636
0.085263,0.933617
0.0898438,0.937183
0.086612,0.934661
0.0878906,0.935659
0.0891692,0.936657
0.09375,0.940267
0.0905183,0.937716
0.0917969,0.938725
0.0930755,0.939734
0.0976562,0.943374
0.0944245,0.940803
0.0957031,0.94182
0.0969817,0.942837
0.101562,0.94649
0.0983308,0.943912
0.0996094,0.944932
0.100888,0.945952
0.105469,0.949603
0.102237,0.947027
0.103516,0.948046
0.104794,0.949065
0.109375,0.952699
0.106143,0.950137
0.107422,0.951151
0.1087,0.952164
0.113281,0.955765
0.11005,0.953228
0.111328,0.954232
0.112607,0.955236
0.117188,0.958789
0.113956,0.956287
0.115234,0.957277
0.116513,0.958267
0.121094,0.961759
0.117862,0.959302
0.119141,0.960274
0.120419,0.961246
0.125,0.964662
0.121768,0.96226
0.123047,0.96321
0.124325,0.964161
0.128906,0.967487
0.125675,0.96515
0.126953,0.966074
0.128232,0.966999
0.132812,0.970223
0.129581,0.967959
0.130859,0.968855
0.132138,0.96975
0.136719,0.972859
0.133487,0.970678
0.134766,0.971541
0.136044,0.972403
0.140625,0.975385
0.137393,0.973295
0.138672,0.974122
0.13995,0.974949
0.144531,0.977793
0.1413,0.975801
0.142578,0.976589
0.143857,0.977377
0.148438,0.980073
0.145206,0.978186
0.146484,0.978933
0.147763,0.979679
0.152344,0.982218
0.149112,0.980443
0.150391,0.981145
0.151669,0.981847
0.15625,0.98422
0.153018,0.982563
0.154297,0.983219
0.155575,0.983874
0.160156,0.986074
0.156925,0.98454
0.158203,0.985147
0.159482,0.985754
0.164062,0.987773
0.160831,0.986367
0.162109,0.986923
0.163388,0.98748
0.167969,0.989314
0.164737,0.988039
0.166016,0.988543
0.167294,0.989048
0.171875,0.990692
0.168643,0.989552
0.169922,0.990003
0.1712,0.990454
0.175781,0.991904
0.17255,0.990901
0.173828,0.991298
0.175107,0.991695
0.179688,0.992948
0.176456,0.992084
0.177734,0.992426
0.179013,0.992768
0.183594,0.993824
0.180362,0.9931
0.181641,0.993386
0.182919,0.993673
0.1875,0.99453
0.184268,0.993946
0.185547,0.994177
0.186825,0.994408
0.191406,0.995068
0.188175,0.994623
0.189453,0.994799
0.190732,0.994975
0.195312,0.995438
0.192081,0.995131
0.193359,0.995253
0.194638,0.995374
0.199219,0.995643
0.195987,0.995473
0.197266,0.99554
0.198544,0.995608
0.203125,0.995686
0.199893,0.995651
0.201172,0.995665
0.20245,0.995679
0.207031,0.995572
0.2038,0.995667
0.205078,0.995629
0.206357,0.995592
0.210938,0.995305
0.207706,0.995526
0.208984,0.995439
0.210263,0.995351
0.214844,0.994891
0.211612,0.995233
0.212891,0.995098
0.214169,0.994962
0.21875,0.994335
0.215518,0.994795
0.216797,0.994613
0.218075,0.994431
0.222656,0.993647
0.219425,0.994216
0.220703,0.993991
0.221982,0.993765
0.226562,0.992832
0.223331,0.993506
0.224609,0.993239
0.225888,0.992973
0.230469,0.9919
0.227237,0.992671
0.228516,0.992366
0.229794,0.992061
0.234375,0.990861
0.231143,0.991721
0.232422,0.99138
0.2337,0.99104
0.238281,0.989723
0.23505,0.990664
0.236328,0.990292
0.237607,0.989919
0.242188,0.988497
