S_values,z_values
0,0
0.00390625,0.00388425
0.00195312,0.00194275
0.0078125,0.00776313
0.00585938,0.00582438
0.0117188,0.0116361
0.00976562,0.00970038
0.015625,0.0155027
0.0136719,0.0135702
0.0195312,0.0193624
0.0175781,0.0174334
0.0234375,0.0232148
0.0214844,0.0212895
0.0273438,0.0270595
0.0253906,0.0251381
0.03125,0.0308963
0.0292969,0.0289789
0.0351562,0.034725
0.0332031,0.0328116
0.0390625,0.0385453
0.0371094,0.0366361
0.0429688,0.0423573
0.0410156,0.0404523
0.046875,0.046161
0.0449219,0.0442601
0.0507812,0.0499564
0.0488281,0.0480597
0.0546875,0.0537438
0.0527344,0.051851
0.0585938,0.0575233
0.0566406,0.0556344
0.0625,0.0612955
0.0605469,0.0594103
0.0664062,0.0650606
0.0644531,0.0631788
0.0703125,0.0688193
0.0683594,0.0669407
0.0742188,0.072572
0.0722656,0.0706963
0.078125,0.0763194
0.0761719,0.0744463
0.0820312,0.0800623
0.0800781,0.0781913
0.0859375,0.0838013
0.0839844,0.0819322
0.0898438,0.0875372
0.0878906,0.0856696
0.09375,0.091271
0.0917969,0.0894043
0.0976562,0.0950033
0.0957031,0.0931373
0.101562,0.0987351
0.0996094,0.0968692
0.105469,0.102467
0.103516,0.100601
0.109375,0.106201
0.107422,0.104334
0.113281,0.109936
0.111328,0.108068
0.117188,0.113674
0.115234,0.111805
0.121094,0.117416
0.119141,0.115545
0.125,0.121163
0.123047,0.119289
0.128906,0.124915
0.126953,0.123038
0.132812,0.128672
0.130859,0.126793
0.136719,0.132436
0.134766,0.130553
0.140625,0.136206
0.138672,0.13432
0.144531,0.139985
0.142578,0.138095
0.148438,0.14377
0.146484,0.141877
0.152344,0.147564
0.150391,0.145666
0.15625,0.151366
0.154297,0.149464
0.160156,0.155176
0.158203,0.15327
0.164062,0.158995
0.162109,0.157085
0.167969,0.162822
0.166016,0.160908
0.171875,0.166657
0.169922,0.164739
0.175781,0.1705
0.173828,0.168578
0.179688,0.174351
0.177734,0.172425
0.183594,0.17821
0.181641,0.17628
0.1875,0.182075
0.185547,0.180141
0.191406,0.185947
0.189453,0.18401
0.195312,0.189824
0.193359,0.187885
0.199219,0.193708
0.197266,0.191765
0.203125,0.197596
0.201172,0.195651
0.207031,0.201488
0.205078,0.199541
0.210938,0.205384
0.208984,0.203436
0.214844,0.209284
0.212891,0.207334
0.21875,0.213185
0.216797,0.211234
0.222656,0.217089
0.220703,0.215137
0.226562,0.220994
0.224609,0.219041
0.230469,0.2249
0.228516,0.222947
0.234375,0.228806
0.232422,0.226853
0.238281,0.232712
0.236328,0.230759
0.242188,0.236618
0.240234,0.234665
0.246094,0.240523
0.244141,0.23857
0.25,0.244426
0.248047,0.242474
0.253906,0.248328
0.251953,0.246377
0.257812,0.252229
0.255859,0.250279
0.261719,0.256128
0.259766,0.254178
0.265625,0.260025
0.263672,0.258076
0.269531,0.26392
0.267578,0.261973
0.273438,0.267814
0.271484,0.265867
0.277344,0.271706
0.275391,0.26976
0.28125,0.275597
0.279297,0.273651
0.285156,0.279486
0.283203,0.277541
0.289062,0.283374
0.287109,0.28143
0.292969,0.287262
0.291016,0.285318
0.296875,0.291149
0.294922,0.289205
0.300781,0.295036
0.298828,0.293092
0.304688,0.298922
0.302734,0.296979
0.308594,0.30281
0.306641,0.300866
0.3125,0.306697
0.310547,0.304753
0.316406,0.310586
0.314453,0.308642
0.320312,0.314476
0.318359,0.312531
0.324219,0.318367
0.322266,0.316421
0.328125,0.32226
0.326172,0.320313
0.332031,0.326154
0.330078,0.324207
0.335938,0.33005
0.333984,0.328102
0.339844,0.333948
0.337891,0.331999
0.34375,0.337848
0.341797,0.335898
0.347656,0.341749
0.345703,0.339798
0.351562,0.345652
0.349609,0.3437
0.355469,0.349556
0.353516,0.347604
0.359375,0.353461
0.357422,0.351508
0.363281,0.357367
0.361328,0.355414
0.367188,0.361273
0.365234,0.35932
0.371094,0.365179
0.369141,0.363226
0.375,0.369085
0.373047,0.367132
0.378906,0.372989
0.376953,0.371037
0.382812,0.376892
0.380859,0.374941
0.386719,0.380793
0.384766,0.378843
0.390625,0.384691
0.388672,0.382742
0.394531,0.388586
0.392578,0.386639
0.398438,0.392477
0.396484,0.390532
0.402344,0.396363
0.400391,0.39442
0.40625,0.400244
0.404297,0.398304
0.410156,0.404119
0.408203,0.402182
0.414062,0.407988
0.412109,0.406055
0.417969,0.411851
0.416016,0.409921
0.421875,0.415706
0.419922,0.41378
0.425781,0.419554
0.423828,0.417631
0.429688,0.423394
0.427734,0.421475
0.433594,0.427226
0.431641,0.425311
0.4375,0.43105
0.435547,0.429139
0.441406,0.434865
0.439453,0.432958
0.445312,0.438672
0.443359,0.43677
0.449219,0.442471
0.447266,0.440572
0.453125,0.446261
0.451172,0.444367
0.457031,0.450044
0.455078,0.448154
0.460938,0.453819
0.458984,0.451932
0.464844,0.457587
0.462891,0.455704
0.46875,0.461348
0.466797,0.459468
0.472656,0.465103
0.470703,0.463226
0.476562,0.468853
0.474609,0.466979
0.480469,0.472597
0.478516,0.470725
0.484375,0.476338
0.482422,0.474468
0.488281,0.480075
0.486328,0.478207
0.492188,0.483809
0.490234,0.481942
0.496094,0.487542
0.494141,0.485676
0.5,0.491274
0.498047,0.489408
0.503906,0.495006
0.501953,0.49314
0.507812,0.498739
0.505859,0.496872
0.511719,0.502473
0.509766,0.500606
0.515625,0.50621
0.513672,0.504341
0.519531,0.509951
0.517578,0.50808
0.523438,0.513695
0.521484,0.511823
0.527344,0.517445
0.525391,0.51557
0.53125,0.5212
0.529297,0.519322
0.535156,0.524961
0.533203,0.52308
0.539062,0.528729
0.537109,0.526844
0.542969,0.532504
0.541016,0.530616
0.546875,0.536287
0.544922,0.534394
0.550781,0.540077
0.548828,0.538181
0.554688,0.543876
0.552734,0.541976
0.558594,0.547683
0.556641,0.545778
0.5625,0.551498
0.560547,0.54959
0.566406,0.555322
0.564453,0.553409
0.570312,0.559154
0.568359,0.557237
0.574219,0.562994
0.572266,0.561073
0.578125,0.566842
0.576172,0.564917
0.582031,0.570697
0.580078,0.568769
0.585938,0.57456
0.583984,0.572627
0.589844,0.578429
0.587891,0.576493
0.59375,0.582304
0.591797,0.580366
0.597656,0.586185
0.595703,0.584244
0.601562,0.590071
0.599609,0.588128
0.605469,0.593962
0.603516,0.592016
0.609375,0.597857
0.607422,0.595909
0.613281,0.601755
0.611328,0.599806
0.617188,0.605656
0.615234,0.603705
0.621094,0.609559
0.619141,0.607607
0.625,0.613463
0.623047,0.611511
0.628906,0.617369
0.626953,0.615416
0.632812,0.621275
0.630859,0.619322
0.636719,0.625181
0.634766,0.623228
0.640625,0.629087
0.638672,0.627134
0.644531,0.632992
0.642578,0.63104
0.648438,0.636896
0.646484,0.634944
0.652344,0.640799
0.650391,0.638848
0.65625,0.6447
0.654297,0.64275
0.660156,0.6486
0.658203,0.64665
0.664062,0.652498
0.662109,0.650549
0.667969,0.656394
0.666016,0.654446
0.671875,0.660288
0.669922,0.658341
0.675781,0.664181
0.673828,0.662235
0.679688,0.668072
0.677734,0.666127
0.683594,0.671962
0.681641,0.670017
0.6875,0.675851
0.685547,0.673906
0.691406,0.679738
0.689453,0.677795
0.695312,0.683626
0.693359,0.681682
0.699219,0.687512
0.697266,0.685569
0.703125,0.691399
0.701172,0.689456
0.707031,0.695286
0.705078,0.693343
0.710938,0.699174
0.708984,0.69723
0.714844,0.703062
0.712891,0.701118
0.71875,0.706951
0.716797,0.705007
0.722656,0.710842
0.720703,0.708897
0.726562,0.714734
0.724609,0.712788
0.730469,0.718628
0.728516,0.716681
0.734375,0.722523
0.732422,0.720575
0.738281,0.72642
0.736328,0.724472
0.742188,0.730319
0.740234,0.72837
0.746094,0.73422
0.744141,0.732269
0.75,0.738122
0.748047,0.736171
0.753906,0.742025
0.751953,0.740074
0.757812,0.74593
0.755859,0.743978
0.761719,0.749836
0.759766,0.747883
0.765625,0.753742
0.763672,0.751789
0.769531,0.757648
0.767578,0.755695
0.773438,0.761554
0.771484,0.759601
0.777344,0.765459
0.775391,0.763507
0.78125,0.769363
0.779297,0.767411
0.785156,0.773264
0.783203,0.771314
0.789062,0.777164
0.787109,0.775214
0.792969,0.78106
0.791016,0.779112
0.796875,0.784952
0.794922,0.783007
0.800781,0.78884
0.798828,0.786897
0.804688,0.792724
0.802734,0.790783
0.808594,0.796601
0.806641,0.794663
0.8125,0.800473
0.810547,0.798538
0.816406,0.804338
0.814453,0.802407
0.820312,0.808197
0.818359,0.806268
0.824219,0.812048
0.822266,0.810123
0.828125,0.815891
0.826172,0.81397
0.832031,0.819726
0.830078,0.817809
0.835938,0.823553
0.833984,0.82164
0.839844,0.827372
0.837891,0.825463
0.84375,0.831182
0.841797,0.829278
0.847656,0.834984
0.845703,0.833084
0.851562,0.838778
0.849609,0.836882
0.855469,0.842563
0.853516,0.840672
0.859375,0.846342
0.857422,0.844453
0.863281,0.850112
0.861328,0.848228
0.867188,0.853876
0.865234,0.851995
0.871094,0.857633
0.869141,0.855755
0.875,0.861385
0.873047,0.85951
0.878906,0.865132
0.876953,0.863259
0.882812,0.868874
0.880859,0.867003
0.886719,0.872612
0.884766,0.870743
0.890625,0.876347
0.888672,0.87448
0.894531,0.880081
0.892578,0.878214
0.898438,0.883813
0.896484,0.881947
0.902344,0.887545
0.900391,0.885679
0.90625,0.891277
0.904297,0.889411
0.910156,0.895011
0.908203,0.893144
0.914062,0.898747
0.912109,0.896878
0.917969,0.902486
0.916016,0.900616
0.921875,0.906229
0.919922,0.904357
0.925781,0.909976
0.923828,0.908102
0.929688,0.913729
0.927734,0.911852
0.933594,0.917487
0.931641,0.915607
0.9375,0.921253
0.935547,0.919369
0.941406,0.925025
0.939453,0.923138
0.945312,0.928804
0.943359,0.926914
0.949219,0.932592
0.947266,0.930697
0.953125,0.936387
0.951172,0.934488
0.957031,0.940191
0.955078,0.938288
0.960938,0.944003
0.958984,0.942096
0.964844,0.947823
0.962891,0.945912
0.96875,0.951652
0.966797,0.949736
0.972656,0.955489
0.970703,0.953569
0.976562,0.959333
0.974609,0.95741
0.980469,0.963186
0.978516,0.961259
0.984375,0.967045
0.982422,0.965115
0.988281,0.970912
0.986328,0.968978
0.992188,0.974785
0.990234,0.972848
0.996094,0.978664
0.994141,0.976724
1,0.982548
0.998047,0.980605
