S_values,z_values
0,0
0.00390625,0.00389328
0.000674505,0.000672265
0.00195312,0.00194664
0.00323175,0.00322101
0.0078125,0.00772049
0.00458075,0.00455413
0.00585938,0.00580689
0.007138,0.00705964
0.0117188,0.0115069
0.008487,0.00837431
0.00976562,0.00961371
0.0110442,0.0108531
0.015625,0.015325
0.0123933,0.0121662
0.0136719,0.013416
0.0149505,0.0146657
0.0195312,0.0192108
0.0162995,0.015996
0.0175781,0.0172679
0.0188567,0.0185398
0.0234375,0.0231081
0.0202058,0.0198838
0.0214844,0.0211594
0.022763,0.0224351
0.0273438,0.0268721
0.024112,0.023758
0.0253906,0.0249901
0.0266692,0.0262222
0.03125,0.0303206
0.0280183,0.0274676
0.0292969,0.0285964
0.0305755,0.0297251
0.0351562,0.0333115
0.0319245,0.0308371
0.0332031,0.0318161
0.0344817,0.0327951
0.0390625,0.0358431
0.0358308,0.0337487
0.0371094,0.0345773
0.038388,0.0354059
0.0429688,0.0381488
0.039737,0.0362412
0.0410156,0.0369959
0.0422942,0.0377506
0.046875,0.0406235
0.0436433,0.0385761
0.0449219,0.0393861
0.0462005,0.0401962
0.0507812,0.0435358
0.0475495,0.0411264
0.0488281,0.0420797
0.0501067,0.0430329
0.0546875,0.0469153
0.0514558,0.0441194
0.0527344,0.0452256
0.054013,0.0463318
0.0585938,0.0506378
0.055362,0.0475581
0.0566406,0.0487766
0.0579192,0.0499951
0.0625,0.0545243
0.0592683,0.0513089
0.0605469,0.0525811
0.0618255,0.0538532
0.0664062,0.058418
0.0631745,0.0551967
0.0644531,0.0564712
0.0657317,0.0577457
0.0703125,0.0622392
0.0670808,0.0590778
0.0683594,0.0603286
0.069638,0.0615794
0.0742188,0.0660043
0.070987,0.0628894
0.0722656,0.0641218
0.0735442,0.0653542
0.078125,0.0697889
0.0748933,0.0666578
0.0761719,0.0678966
0.0774505,0.0691354
0.0820312,0.0736483
0.0787995,0.0704553
0.0800781,0.0717186
0.0813567,0.0729819
0.0859375,0.0775542
0.0827058,0.0743227
0.0839844,0.0756012
0.085263,0.0768798
0.0898438,0.0813877
0.086612,0.0782161
0.0878906,0.079471
0.0891692,0.0807258
